"AMTX","Aemetis, Inc",7.22,7.57,-0.375,"11/7/2014","4:00pm"
"AEPI","AEP Industries In",45.48,45.45,-0.25,"11/7/2014","4:00pm"
"AERI","Aerie Pharmaceuti",24.63,25.06,-0.36,"11/7/2014","4:00pm"
"AVAV","AeroVironment, In",29.81,30.35,-0.65,"11/7/2014","4:00pm"
"AEZS","AEterna Zentaris ",0.567,0.67,-0.083,"11/7/2014","4:00pm"
"ATRM","Aetrium Incorpora",3.81,3.81,-0.29,"11/7/2014","3:51pm"
"AFMD","Affimed N.V.",5.00,4.93,+0.05,"11/7/2014","3:59pm"
"AFFX","Affymetrix, Inc.",9.43,9.40,-0.02,"11/7/2014","4:00pm"
"AGEN","Agenus Inc.",3.02,3.07,-0.03,"11/7/2014","4:00pm"
"AGRX","Agile Therapeutic",6.50,6.51,-0.02,"11/7/2014","3:59pm"
"AGYS","Agilysys, Inc.",11.36,11.31,+0.01,"11/7/2014","4:00pm"
"AGIO","Agios Pharmaceuti",72.06,84.89,-11.03,"11/7/2014","4:00pm"
"AIRM","Air Methods Corpo",42.95,45.68,-3.69,"11/7/2014","4:00pm"
"AIRT","Air T, Inc.",14.72,14.20,+1.22,"11/7/2014","3:59pm"
"ATSG","Air Transport Ser",8.54,8.52,-0.02,"11/7/2014","4:00pm"
"AMCN","AirMedia Group In",2.26,2.25,+0.01,"11/7/2014","3:59pm"
"AIXG","Aixtron SE",11.96,12.32,+0.10,"11/7/2014","4:00pm"
"AKAM","Akamai Technologi",60.135,59.70,+0.505,"11/7/2014","4:00pm"
"AKBA","Akebia Therapeuti",10.70,10.46,+0.33,"11/7/2014","4:00pm"
"AKER","Akers Biosciences",3.07,3.32,-0.29,"11/7/2014","4:00pm"
"AKRX","Akorn, Inc.",36.59,36.36,-1.29,"11/7/2014","4:00pm"
"ALSK","Alaska Communicat",1.50,1.60,-0.02,"11/7/2014","4:00pm"
"AMRI","Albany Molecular ",16.84,15.90,+0.75,"11/7/2014","4:00pm"
"ABDC","Alcentra Capital ",12.75,13.04,-0.24,"11/7/2014","4:00pm"
"ADHD","Alcobra Ltd.",3.75,3.83,-0.12,"11/7/2014","3:59pm"
"ALDR","Alder BioPharmace",16.57,16.76,-0.25,"11/7/2014","4:00pm"
"ALDX","Aldeyra Therapeut",7.12,7.73,-0.60,"11/7/2014","3:59pm"
"ALXN","Alexion Pharmaceu",193.81,194.49,+0.67,"11/7/2014","4:00pm"
"ALXA","Alexza Pharmaceut",1.67,1.95,+0.10,"11/7/2014","4:00pm"
"ALCO","Alico, Inc.",37.15,36.37,+0.60,"11/7/2014","4:00pm"
"ALGN","Align Technology,",52.39,52.77,-0.24,"11/7/2014","4:00pm"
"ALIM","Alimera Sciences,",5.06,5.44,-0.04,"11/7/2014","4:00pm"
"ALKS","Alkermes plc",51.00,50.90,-0.03,"11/7/2014","4:00pm"
"ALGT","Allegiant Travel ",134.65,136.00,-1.37,"11/7/2014","4:00pm"
"ALLB","Alliance Bancorp,",17.00,N/A,0.00,"11/7/2014","2:17pm"
"AFOP","Alliance Fiber Op",13.50,13.75,-0.22,"11/7/2014","4:00pm"
"AIQ","Alliance HealthCa",22.70,24.18,-1.34,"11/7/2014","4:00pm"
"AHGP","Alliance Holdings",68.60,67.51,+0.11,"11/7/2014","4:00pm"
"ARLP","Alliance Resource",47.56,47.25,+0.47,"11/7/2014","4:00pm"
"AHPI","Allied Healthcare",1.73,1.74,0.00,"11/7/2014","3:02pm"
"AMOT","Allied Motion Tec",15.96,15.95,+0.17,"11/7/2014","4:00pm"
"ALQA","Alliqua, Inc.",5.13,4.88,+0.25,"11/7/2014","4:00pm"
"ALLT","Allot Communicati",10.45,10.14,+0.29,"11/7/2014","4:00pm"
"MDRX","Allscripts Health",11.54,11.00,-2.01,"11/7/2014","4:00pm"
"AFAM","Almost Family Inc",27.05,27.87,-0.92,"11/7/2014","4:00pm"
"ALNY","Alnylam Pharmaceu",95.84,92.36,+2.93,"11/7/2014","4:00pm"
"AOSL","Alpha and Omega S",8.38,9.34,-1.14,"11/7/2014","4:00pm"
"ATEC","Alphatec Holdings",1.39,1.46,-0.06,"11/7/2014","4:00pm"
"ALTR","Altera Corporatio",35.225,35.22,+0.075,"11/7/2014","4:00pm"
"ASPS","Altisource Portfo",70.05,69.81,-0.11,"11/7/2014","4:00pm"
"APSA","Alto Palermo S.A.",19.326,19.80,-1.674,"11/7/2014","1:48pm"
"AIMC","Altra Industrial ",31.49,31.27,+0.17,"11/7/2014","4:00pm"
"AMAG","AMAG Pharmaceutic",34.95,33.92,+0.83,"11/7/2014","4:00pm"
"AMRN","Amarin Corporatio",0.90,0.9128,-0.04,"11/7/2014","4:00pm"
"AMRK","A-Mark Precious M",10.30,10.39,-0.10,"11/7/2014","3:54pm"
"AMZN","Amazon.com, Inc.",299.86,297.82,+3.22,"11/7/2014","4:00pm"
"AMBC","Ambac Financial G",23.44,23.09,+0.42,"11/7/2014","4:00pm"
"AMBCW","Ambac Financial G",14.2673,14.60,+0.0173,"11/7/2014","3:39pm"
"AMBA","Ambarella, Inc.",47.14,46.08,+1.13,"11/7/2014","3:59pm"
"EPAX","Ambassadors Group",2.755,2.95,-0.175,"11/7/2014","3:48pm"
"AMBI","Ambit Biosciences",15.34,15.40,-0.12,"11/7/2014","4:00pm"
"AMCX","AMC Networks Inc.",61.94,61.19,+0.74,"11/7/2014","4:00pm"
"DOX","Amdocs Limited",47.51,47.55,-0.08,"11/7/2014","4:00pm"
"AMDA","Amedica Corporati",1.3497,1.46,-0.0803,"11/7/2014","3:59pm"
"AMED","Amedisys Inc",24.79,25.12,-0.38,"11/7/2014","3:59pm"
"UHAL","Amerco",278.63,281.13,-1.37,"11/7/2014","4:00pm"
"ASBI","Ameriana Bancorp",16.25,16.25,-0.50,"11/7/2014","2:12pm"
"ATAX","America First Mul",5.78,5.79,-0.03,"11/7/2014","4:00pm"
"AMOV","America Movil, S.",24.09,23.76,+0.16,"11/7/2014","3:59pm"
"AAL","American Airlines",43.20,43.14,+0.06,"11/7/2014","4:00pm"
"AGNC","American Capital ",22.55,22.49,+0.13,"11/7/2014","4:00pm"
