"AMTX","Aemetis, Inc",7.5401,7.56,-0.0099,"11/5/2014","2:35pm"
"AEPI","AEP Industries In",45.805,46.22,-0.195,"11/5/2014","2:26pm"
"AERI","Aerie Pharmaceuti",23.06,23.37,-0.23,"11/5/2014","2:36pm"
"AVAV","AeroVironment, In",30.45,30.46,+0.26,"11/5/2014","2:37pm"
"AEZS","AEterna Zentaris ",1.29,1.22,+0.18,"11/5/2014","2:37pm"
"ATRM","Aetrium Incorpora",3.30,3.38,+0.06,"11/5/2014","1:52pm"
"AFMD","Affimed N.V.",4.745,4.24,+0.375,"11/5/2014","2:22pm"
"AFFX","Affymetrix, Inc.",9.46,9.50,+0.07,"11/5/2014","2:37pm"
"AGEN","Agenus Inc.",3.01,3.00,+0.01,"11/5/2014","2:37pm"
"AGRX","Agile Therapeutic",6.64,N/A,-0.22,"11/5/2014","11:53am"
"AGYS","Agilysys, Inc.",11.33,11.40,+0.05,"11/5/2014","2:34pm"
"AGIO","Agios Pharmaceuti",81.89,83.79,-0.55,"11/5/2014","2:37pm"
"AIRM","Air Methods Corpo",46.73,47.78,-0.57,"11/5/2014","2:37pm"
"AIRT","Air T, Inc.",13.85,13.44,+0.54,"11/5/2014","2:03pm"
"ATSG","Air Transport Ser",8.45,8.57,-0.06,"11/5/2014","2:35pm"
"AMCN","AirMedia Group In",2.33,2.37,-0.03,"11/5/2014","2:37pm"
"AIXG","Aixtron SE",11.70,11.76,+0.05,"11/5/2014","2:19pm"
"AKAM","Akamai Technologi",58.7562,59.92,-0.8738,"11/5/2014","2:37pm"
"AKBA","Akebia Therapeuti",10.84,11.11,-0.16,"11/5/2014","2:37pm"
"AKER","Akers Biosciences",3.43,3.39,+0.06,"11/5/2014","1:35pm"
"AKRX","Akorn, Inc.",42.0175,42.97,-0.6225,"11/5/2014","2:37pm"
"ALSK","Alaska Communicat",1.385,1.37,+0.005,"11/5/2014","2:35pm"
"AMRI","Albany Molecular ",17.51,18.91,-5.16,"11/5/2014","2:37pm"
"ABDC","Alcentra Capital ",12.97,13.12,-0.09,"11/5/2014","2:30pm"
"ADHD","Alcobra Ltd.",3.60,3.54,+0.11,"11/5/2014","2:35pm"
"ALDR","Alder BioPharmace",17.17,16.34,+1.00,"11/5/2014","2:25pm"
"ALDX","Aldeyra Therapeut",7.33,7.90,-0.56,"11/5/2014","2:34pm"
"ALXN","Alexion Pharmaceu",189.35,193.01,-1.95,"11/5/2014","2:37pm"
"ALXA","Alexza Pharmaceut",2.17,2.14,+0.03,"11/5/2014","2:21pm"
"ALCO","Alico, Inc.",36.70,37.00,-0.14,"11/5/2014","1:49pm"
"ALGN","Align Technology,",51.84,52.57,-0.39,"11/5/2014","2:37pm"
"ALIM","Alimera Sciences,",4.70,4.87,-0.32,"11/5/2014","2:36pm"
"ALKS","Alkermes plc",49.83,51.03,-0.53,"11/5/2014","2:37pm"
"ALGT","Allegiant Travel ",135.68,138.82,-1.63,"11/5/2014","2:37pm"
"ALLB","Alliance Bancorp,",16.50,N/A,0.00,"11/4/2014","2:19pm"
"AFOP","Alliance Fiber Op",13.28,13.63,-0.19,"11/5/2014","2:37pm"
"AIQ","Alliance HealthCa",24.65,25.17,-0.18,"11/5/2014","2:03pm"
"AHGP","Alliance Holdings",66.80,68.15,-1.30,"11/5/2014","2:32pm"
"ARLP","Alliance Resource",46.505,47.24,-2.825,"11/5/2014","2:37pm"
"AHPI","Allied Healthcare",1.83,1.82,+0.081,"11/5/2014","2:34pm"
"AMOT","Allied Motion Tec",15.95,15.90,+0.24,"11/5/2014","2:36pm"
"ALQA","Alliqua, Inc.",4.98,5.06,-0.01,"11/5/2014","1:21pm"
"ALLT","Allot Communicati",10.02,10.67,-0.53,"11/5/2014","2:37pm"
"MDRX","Allscripts Health",13.55,13.90,-0.23,"11/5/2014","2:37pm"
"AFAM","Almost Family Inc",28.835,30.00,-0.935,"11/5/2014","2:37pm"
"ALNY","Alnylam Pharmaceu",88.45,89.99,-1.54,"11/5/2014","2:36pm"
"AOSL","Alpha and Omega S",9.59,9.74,-0.09,"11/5/2014","2:05pm"
"ATEC","Alphatec Holdings",1.45,1.46,-0.01,"11/5/2014","2:37pm"
"ALTR","Altera Corporatio",35.18,35.00,+0.37,"11/5/2014","2:37pm"
"ASPS","Altisource Portfo",71.18,70.21,+1.33,"11/5/2014","2:31pm"
"APSA","Alto Palermo S.A.",21.00,N/A,-0.50,"11/5/2014","2:03pm"
"AIMC","Altra Industrial ",31.31,31.09,+0.54,"11/5/2014","2:34pm"
"AMAG","AMAG Pharmaceutic",34.02,34.83,-0.08,"11/5/2014","2:37pm"
"AMRN","Amarin Corporatio",0.9589,0.9026,+0.0378,"11/5/2014","2:37pm"
"AMRK","A-Mark Precious M",10.32,10.54,-0.138,"11/5/2014","2:00pm"
"AMZN","Amazon.com, Inc.",296.32,303.01,-6.49,"11/5/2014","2:37pm"
"AMBC","Ambac Financial G",23.35,23.36,+0.12,"11/5/2014","2:37pm"
"AMBCW","Ambac Financial G",14.00,14.00,0.00,"11/5/2014","10:45am"
"AMBA","Ambarella, Inc.",44.556,45.90,-0.924,"11/5/2014","2:37pm"
"EPAX","Ambassadors Group",3.40,3.47,+0.03,"11/5/2014","11:13am"
